x,y,z
424.6,270.6,-4.5
424.6,271.1,-4.5
423.6,270.7,-4.6
423.6,271.2,-4.5
422.3,270.7,-3.7
402.6,271.5,-5.5
400.9,271.6,-4.6
399.5,271.6,-4.8
367.9,272.2,-6.7
366.6,272.2,-6.8
365.2,272.3,-7.0
363.9,272.3,-7.1
363.0,272.3,-7.2
361.4,272.3,-6.3
360.0,272.3,-6.4
351.4,272.5,-6.2
350.0,272.5,-6.4
348.5,272.4,-5.5
327.4,272.9,-6.4
326.1,272.9,-6.6
325.2,273.0,-6.6
325.7,273.0,-6.6
326.6,272.9,-6.5
327.0,272.9,-6.5
327.9,272.9,-6.4
325.0,273.0,-7.7
324.5,273.0,-7.7
348.0,272.5,-5.5
348.9,272.4,-5.5
349.6,272.5,-6.4
350.5,272.5,-6.3
350.9,272.5,-6.3
351.8,272.5,-6.2
343.6,272.6,-8.0
342.7,272.7,-8.0
343.1,272.7,-8.0
352.5,272.5,-7.1
360.5,272.3,-6.4
360.9,272.3,-6.4
361.8,272.2,-6.3
362.3,272.2,-6.2
361.2,272.4,-7.3
359.8,272.4,-7.5
354.9,272.5,-7.9
353.6,272.5,-8.0
341.5,272.8,-9.2
340.2,272.8,-9.3
339.7,272.8,-9.3
340.6,272.8,-9.2
341.1,272.8,-9.2
342.0,272.8,-9.1
353.1,272.5,-8.1
354.0,272.5,-8.0
354.5,272.5,-7.9
359.0,272.4,-7.5
359.4,272.4,-7.5
360.3,272.4,-7.4
360.7,272.4,-7.4
362.5,272.3,-7.2
362.7,272.2,-6.2
363.4,272.3,-7.1
364.3,272.3,-7.0
364.8,272.3,-7.0
365.7,272.3,-6.9
366.1,272.2,-6.9
367.0,272.2,-6.8
367.5,272.2,-6.7
397.4,271.6,-4.0
397.8,271.5,-3.9
396.8,271.7,-5.0
395.5,271.7,-5.1
358.8,272.5,-8.5
357.4,272.5,-8.7
356.1,272.6,-8.8
339.5,272.9,-10.3
355.6,272.6,-8.8
356.5,272.6,-8.8
357.0,272.5,-8.7
357.9,272.5,-8.6
358.3,272.5,-8.6
394.7,271.7,-5.2
395.1,271.7,-5.2
395.9,271.7,-5.1
396.4,271.7,-5.1
397.3,271.7,-5.0
400.0,271.6,-4.7
400.4,271.6,-4.7
394.0,271.7,-6.3
392.8,271.7,-6.4
391.4,271.8,-6.5
390.0,271.8,-6.7
387.8,271.9,-6.9
386.4,271.9,-7.0
385.1,271.9,-7.1
383.7,271.9,-7.2
380.6,272.0,-7.5
381.0,272.0,-7.5
384.2,271.9,-7.2
384.6,271.9,-7.2
385.5,271.9,-7.1
386.0,271.9,-7.0
386.9,271.9,-7.0
387.3,271.9,-6.9
388.2,271.9,-6.8
388.7,271.8,-6.8
390.5,271.8,-6.6
390.9,271.8,-6.6
391.9,271.8,-6.5
392.3,271.8,-6.5
393.2,271.7,-6.4
393.7,271.7,-6.3
394.5,271.7,-6.2
401.7,271.6,-5.6
402.1,271.5,-5.5
403.0,271.5,-5.5
403.0,271.1,-5.5
400.4,271.1,-4.7
398.3,271.1,-3.9
367.9,271.8,-6.7
366.6,271.8,-6.9
365.2,271.9,-7.0
363.9,271.9,-7.1
362.5,271.9,-7.2
352.5,272.1,-7.2
350.9,272.0,-6.3
348.5,272.0,-5.5
327.4,272.4,-6.5
326.1,272.4,-6.6
325.2,272.5,-6.7
325.7,272.5,-6.6
326.6,272.4,-6.6
327.0,272.4,-6.5
325.0,272.6,-7.7
327.9,272.4,-6.4
348.0,272.1,-5.6
348.9,272.0,-5.5
344.2,272.1,-6.9
343.8,272.1,-7.0
350.5,272.0,-6.4
351.4,272.0,-6.3
351.8,272.0,-6.2
342.7,272.3,-8.1
342.2,272.3,-8.1
343.1,272.3,-8.0
361.4,271.9,-6.3
361.8,271.8,-6.3
360.7,272.0,-7.4
359.4,272.0,-7.5
354.5,272.1,-8.0
341.5,272.4,-9.2
340.2,272.4,-9.3
339.7,272.4,-9.4
340.6,272.4,-9.3
341.1,272.4,-9.2
342.0,272.4,-9.1
354.0,272.1,-8.0
354.9,272.1,-7.9
359.0,272.0,-7.6
359.8,272.0,-7.5
360.3,272.0,-7.4
361.2,272.0,-7.4
363.0,271.9,-7.2
363.4,271.9,-7.2
364.3,271.9,-7.1
364.8,271.9,-7.0
365.7,271.9,-6.9
366.1,271.8,-6.9
367.0,271.8,-6.8
367.5,271.8,-6.8
397.4,271.2,-4.0
397.8,271.1,-4.0
395.9,271.2,-5.2
394.6,271.2,-5.3
358.8,272.0,-8.6
357.4,272.0,-8.7
356.1,272.1,-8.8
339.5,272.4,-10.4
356.5,272.1,-8.8
357.0,272.0,-8.8
357.9,272.0,-8.7
358.3,272.0,-8.6
359.2,272.0,-8.6
359.7,272.0,-8.5
395.0,271.2,-5.2
395.5,271.2,-5.2
396.4,271.2,-5.1
399.5,271.1,-4.8
400.0,271.1,-4.8
394.0,271.3,-6.3
392.8,271.4,-6.4
391.4,271.4,-6.6
390.0,271.4,-6.7
388.7,271.4,-6.8
387.3,271.5,-7.0
386.0,271.5,-7.1
384.6,271.5,-7.2
381.0,271.6,-7.5
380.6,271.6,-7.6
383.7,271.6,-7.3
384.2,271.5,-7.2
385.1,271.5,-7.2
385.5,271.5,-7.1
386.4,271.5,-7.0
386.9,271.5,-7.0
387.8,271.5,-6.9
388.2,271.5,-6.9
389.1,271.4,-6.8
389.6,271.4,-6.7
390.5,271.4,-6.7
390.9,271.4,-6.6
391.9,271.4,-6.5
392.3,271.4,-6.5
393.1,271.3,-6.4
393.6,271.3,-6.4
394.5,271.3,-6.3
400.9,271.1,-4.7
402.6,271.1,-5.5
421.9,270.7,-3.7
421.4,271.2,-4.8
404.3,271.6,-6.3
383.1,272.1,-8.3
381.8,272.1,-8.4
382.2,272.1,-8.4
382.7,272.1,-8.3
383.6,272.0,-8.3
403.8,271.6,-6.4
404.8,271.6,-6.3
405.2,271.6,-6.3
421.8,271.2,-4.7
405.2,271.1,-6.3
383.6,271.6,-8.3
382.2,271.6,-8.4
382.7,271.6,-8.4
383.1,271.6,-8.4
404.3,271.1,-6.4
404.8,271.1,-6.3
423.2,270.7,-4.6
423.2,271.2,-4.6
424.1,270.7,-4.6
424.1,271.2,-4.5
425.0,270.6,-4.5
425.0,271.1,-4.4
406.0,271.2,-7.2
426.3,270.7,-5.3
426.3,271.1,-5.3
427.2,270.7,-5.3
327.4,272.0,-6.5
326.1,272.0,-6.6
325.2,272.1,-6.7
325.7,272.1,-6.7
326.6,272.0,-6.6
327.0,272.0,-6.6
427.2,271.1,-5.2
427.7,272.0,-5.1
428.1,272.9,-5.0
428.6,273.8,-4.8
429.5,274.2,-4.7
429.9,274.3,-5.7
429.9,272.9,-5.8
429.9,271.5,-5.9
429.9,270.6,-6.0
429.9,271.1,-6.0
429.9,272.0,-5.9
429.9,272.4,-5.9
429.9,273.4,-5.8
429.9,273.8,-5.7
429.0,272.4,-5.9
429.0,272.9,-5.9
429.5,272.4,-5.9
429.5,271.1,-6.0
429.5,270.6,-6.1
429.5,271.5,-6.0
429.5,272.0,-5.9
428.6,271.5,-6.1
429.0,271.5,-6.0
429.0,270.6,-6.1
429.0,271.1,-6.1
428.6,270.7,-6.1
428.6,271.1,-6.1
429.0,272.0,-6.0
429.5,272.9,-5.8
430.8,274.7,-5.6
431.8,270.6,-5.9
432.6,270.6,-5.8
433.0,270.6,-5.7
433.9,270.5,-5.6
433.9,270.1,-5.7
432.6,270.2,-5.8
429.9,270.2,-6.1
428.6,270.3,-6.2
426.8,270.2,-5.4
425.0,270.2,-4.5
423.6,270.3,-4.6
421.9,270.2,-3.8
420.5,270.2,-3.9
402.6,270.6,-5.6
398.3,270.6,-4.0
396.9,270.7,-4.1
377.0,271.1,-4.9
353.3,271.6,-7.1
351.8,271.6,-6.3
349.8,271.5,-5.5
348.5,271.5,-5.6
345.3,271.6,-5.9
345.8,271.6,-5.8
348.9,271.5,-5.5
349.4,271.5,-5.5
